cluster number,tables,label
9,"['38390205_1_8150763005563658139', '43226272_0_5995103035300388365', '64734047_0_5880705307495695536', '68442591_0_8506821153001360777', '68779923_1_3240042497463101224', '78005071_0_8643954006825971723', '90325533_0_6668263142989366843']",Hospital
10,"['3917335_0_7791699395300625164', '55961337_0_6548713781034932742', '67865873_0_8259587610208037357', '69537082_0_7789694313271016902', '79327346_0_5787863739697336601']",Country
39,"['39759273_0_1427898308030295194', '58891288_0_1117541047012405958', '77694908_0_6083291340991074532']",Film
29,"['41819807_0_3139249984404131679', '55027702_0_628532586316851176', '71840765_0_6664391841933033844', '98929678_0_3700213490979945526']",Lake
30,"['42764224_0_515744189130384109', '70883081_0_5357790421435123524', '76373906_0_6904594838446307331']",PoliticalParty
14,"['43469354_0_6029017163991310319', '78891639_0_3299957631631122948', '91474256_0_964747655387573523']",City
15,"['55004961_0_2904467548072189860', '55238374_0_3379409961751009152', '57943722_0_8666078014685775876', '61121469_0_6337620713408906340', '8286121_0_8471791395229161598']",Country
35,"['5873256_0_7795190905731964989', '86747932_0_7532457067740920052']",Airline
19,"['68779923_0_3859283110041832023', '68779923_2_1000046510804975562', '68779923_4_1832350971585698643', '68779923_5_2067037721454758189', '9206866_1_8114610355671172497']",Country
21,"['71137051_0_8039724067857124984', '74685423_0_8061289760697103949', '84675086_0_6386416780680710863', '90196673_0_5458330029110291950']",Bird
