cluster number,tables,label
3,"['34041816_1_4749054164534706977', '39107734_2_2329160387535788734', '4501311_8_8306082458935575308', '45073662_0_3179937335063201739', '73242003_5_4847571983313033360']",Airport
26,"['3917335_0_7791699395300625164', '74491133_0_7177831100884797849', '79327346_0_5787863739697336601']",Country
33,"['41194422_0_7231546114369966811', '41194422_1_1172256090552737974', '69537082_0_7789694313271016902']",Country
13,"['42764224_0_515744189130384109', '70883081_0_5357790421435123524', '76373906_0_6904594838446307331']",PoliticalParty
39,"['43469354_0_6029017163991310319', '78891639_0_3299957631631122948']",City
10,"['48456557_0_3760853481322708783', '60319454_0_3938426910282115527', '71137051_0_8039724067857124984', '90196673_0_5458330029110291950', '92896255_0_4593968708343548527']",Animal
30,"['48805028_0_8933391169600128370', '63450419_0_8012592961815711786', '74685423_0_8061289760697103949', '84675086_0_6386416780680710863']",Bird
6,"['55004961_0_2904467548072189860', '55238374_0_3379409961751009152', '57943722_0_8666078014685775876', '61121469_0_6337620713408906340', '8286121_0_8471791395229161598']",Country
27,"['5873256_0_7795190905731964989', '86747932_0_7532457067740920052']",Airline
4,"['61626303_0_266372209664087642', '68779923_0_3859283110041832023', '68779923_1_3240042497463101224', '68779923_2_1000046510804975562', '68779923_4_1832350971585698643', '68779923_5_2067037721454758189']",Country
