ac,uc,ws,cm,emc,df,vt,tlc,is_subject_role,
0,1,0,0,0,0,1,0,0,12271141_0_8517913935669973086
0,1,0,0,0,2,2,0.669950739,0,12271141_0_8517913935669973086
0,1,0,0,0,0,1,0,0,12271141_0_8517913935669973086
0,1,0,0,0,0,1.875,0.125,1,12746760_0_6703465836620308483
0,1,0,0,0,0,1,0,0,12746760_0_6703465836620308483
0,1,0,0,0,0,1,0,0,12746760_0_6703465836620308483
0,1,0,0,0,0,1,0,0,12746760_0_6703465836620308483
0,1,0,0,0,0,2.285714286,0,1,13357355_0_5384862281417742530
0,1,0,0,0.047619048,0,1.904761905,0.228571429,0,13357355_0_5384862281417742530
0,1,0,0,0,0,2.047619048,0,0,13357355_0_5384862281417742530
0,1,0,0,0,0,2.3125,0.1625,1,13395751_3_369722706637560735
0,1,0,0,0,1,1.4375,0,0,13395751_3_369722706637560735
0,1,0,0,0,0,1.4375,0,0,13395751_3_369722706637560735
0,1,0,0,0,0,1,0,0,13395751_3_369722706637560735
0,1,0,0,0,0,2.113105925,0.132867494,1,13719111_1_5719401842463579519
0,1,0,0,0,1,2,0.154366274,0,13719111_1_5719401842463579519
0,1,0,0,0,2,3.31956912,4.95491004,0,13719111_1_5719401842463579519
0,1,0,0,0,0,1.339622642,0.304063861,1,14067031_0_559833072073397908
0,1,0,0,0,1,1.20754717,0.167634253,0,14067031_0_559833072073397908
0,1,0,0,0,0,1,0,0,14067031_0_559833072073397908
0,1,0,0,0,0,1.981132075,0,0,14067031_0_559833072073397908
0,1,0,0,0,4,2.452830189,0.478229318,0,14067031_0_559833072073397908
0,1,0,0,0,5,1.113207547,0.140783745,0,14067031_0_559833072073397908
0,1,0,0,0,0,1,0,0,14067031_0_559833072073397908
0,1,0,0,0,7,1.735849057,0.198113208,0,14067031_0_559833072073397908
0,1,0,0,0,0,2,0.387096774,1,14311244_0_7604843865524657408
0,1,0,0,0,0,1,0,0,14311244_0_7604843865524657408
0,1,0,0,0,2,1,0,0,14311244_0_7604843865524657408
0,1,0,0,0,3,2.90625,0,0,14311244_0_7604843865524657408
0,1,0,0,0,0,1,0,1,1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5
0,1,0,0,0.375,0,1,0,0,1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5
0,1,0,0,0,0,1,0,1,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,0,2.8,0.266666667,0,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,3,1.8,0.677777778,0,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,0,1,0,0,1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10
0,1,0,0,0,0,1,0,1,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,0,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,0,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,0,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,0,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,1,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,1,0,1,0,0,1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2
0,1,0,0,0,0,2.111111111,0.104575163,1,1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2
0,1,0,0,0,1,8,0,0,1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2
0,1,0,0,0,2,4,0,0,1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2
0,1,0,0,0,0,1,0,1,14380604_4_3329235705746762392
0,1,0,0,0,0,1.85,0.642105263,0,14380604_4_3329235705746762392
0,1,0,0,0,0,1,0,0,14380604_4_3329235705746762392
0,1,0,0,0,2,1.65,0.252631579,0,14380604_4_3329235705746762392
0,1,0,0,0,0,1,0,0,14380604_4_3329235705746762392
0,1,0,0,0,0,1,0,0,14380604_4_3329235705746762392
0,1,0,0,0,0,1,0,0,14380604_4_3329235705746762392
0,1,0,0,0,0,1,0,0,14380604_4_3329235705746762392
0,1,0,0,0,0,3.024390244,3.12804878,1,15700884_0_8204220284166767221
0,1,0,0,0,1,3.219512195,1.690243902,0,15700884_0_8204220284166767221
0,1,0,0,0,0,1,0,0,15700884_0_8204220284166767221
0,1,0,0,0,0,2.296296296,0.216524217,1,1614988_0_8789868670151796042
0,1,0,0,0,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0.185185185,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0,4,1.185185185,0.156695157,0,1614988_0_8789868670151796042
0,1,0,0,0.888888889,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0.740740741,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0.740740741,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,1,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0.814814815,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0.814814815,0,1,0,0,1614988_0_8789868670151796042
0,1,0,0,0,0,1,0,1,16767252_0_2409448375013995751
0,1,0,0,0,0,2.681818182,0.731321839,0,16767252_0_2409448375013995751
0,1,0,0,0,0,1,0,0,16767252_0_2409448375013995751
0,1,0,0,0,2,2.306818182,0.413662487,0,16767252_0_2409448375013995751
0,1,0,0,0,0,1,0,0,16767252_0_2409448375013995751
0,1,0,0,0,0,3.7,1.6,1,16949304_0_2573050770332101882
0,1,0,0,0,0,1,0,0,16949304_0_2573050770332101882
0,1,0,0,0,2,3.2,0.1,0,16949304_0_2573050770332101882
0,1,0,0,0.1,3,2.9,1.066666667,0,16949304_0_2573050770332101882
0,1,0,0,0.1,4,1,0.1,0,16949304_0_2573050770332101882
0,1,0,0,0,0,2.956834532,0.662961328,1,18422942_0_3659164506677528063
0,1,0,0,0,0,1.996402878,0,0,18422942_0_3659164506677528063
0,1,0,0,0,0,1.201438849,0,0,18422942_0_3659164506677528063
0,1,280,0,0,0,3.39957265,0.77779608,1,19272019_0_1508498249156534553
0,1,135,0,0,1,2.258547009,0.290502205,0,19272019_0_1508498249156534553
0,1,8,0,0,2,1,0,0,19272019_0_1508498249156534553
0,1,15,0,0,0,2.361256545,0.69809865,1,19361188_0_1640726405141876003
0,1,0,0,0,0,1,0,0,19361188_0_1640726405141876003
0,1,14,0,0,2,1,0,0,19361188_0_1640726405141876003
0,1,10,0,0,3,1,0.106475613,0,19361188_0_1640726405141876003
0,1,0,0,0.471204188,0,1,0,0,19361188_0_1640726405141876003
0,1,0,0,0.979057592,0,1.041884817,0,0,19361188_0_1640726405141876003
0,1,0,0,0,0,1,0,0,19654359_0_3020273135042459469
0,1,112,0,0,0,3.394160584,0.518355517,1,19654359_0_3020273135042459469
0,1,41,0,0,1,1.343065693,0.271146415,0,19654359_0_3020273135042459469
0,1,0,0,0,0,1,0,0,19654359_0_3020273135042459469
0,1,0,0,0,0,1,0,0,20135078_0_7570343137119682530
0,1,217,0,0,0,2.62,0.619292929,1,20135078_0_7570343137119682530
0,1,0,0,0,0,1,0,0,20135078_0_7570343137119682530
0,1,101,0,0,2,2.49,3.294848485,0,20135078_0_7570343137119682530
0,1,0,0,0,0,1,0,0,20135078_0_7570343137119682530
0,1,61,0,0,0,2.338461538,0.383653846,1,2066887_0_746204117268168398
0,1,14,0,0,1,1,0,0,2066887_0_746204117268168398
0,1,0,0,0.046153846,0,1,0,0,2066887_0_746204117268168398
0,1,0,0,0,0,2,0,0,2066887_0_746204117268168398
0,1,0,0,0.015384615,0,1,0,0,2066887_0_746204117268168398
0,1,24,0,0,0,1.056872038,0.053893026,0,21245481_0_8730460088443117515
0,1,174,0,0,1,3.909952607,6.822613406,1,21245481_0_8730460088443117515
0,1,0,0,0,0,2,0,0,21245481_0_8730460088443117515
0,1,0,0,0,0,1,0,0,21329809_0_5526008408364682899
0,1,12,0,0,0,1.185897436,0.242638544,1,21329809_0_5526008408364682899
0,1,54,0,0,1,1.185897436,0.152315964,0,21329809_0_5526008408364682899
0,1,0,0,0,0,1,0,0,21329809_0_5526008408364682899
0,1,0,0,0.096153846,0,1,0,0,21329809_0_5526008408364682899
0,1,66,0,0,4,2.128205128,0.448759305,0,21329809_0_5526008408364682899
0,1,92,0,0,0,2.03030303,0.03030303,1,21333456_2_1886495893795687264
0,1,28,0,0,1,6.151515152,2.876893939,0,21333456_2_1886495893795687264
0,1,0,0,0,0,1.060606061,0,0,21333456_2_1886495893795687264
0,1,0,0,0,0,1,0,0,21337553_0_8832378999628437599
0,1,64,0,0,0,1.691588785,0.492505731,1,21337553_0_8832378999628437599
0,1,0,0,0,0,1,0,0,21337553_0_8832378999628437599
0,1,23,0,0,2,1.056074766,0.072297655,0,21337553_0_8832378999628437599
0,1,8,0,0,3,1.056074766,0.05342973,0,21337553_0_8832378999628437599
0,1,0,0,0,0,1,0,0,21362676_0_6854186738074119688
0,1,44,0,0,0,3,0.817272727,1,21362676_0_6854186738074119688
0,1,0,0,0,0,1,0,0,21362676_0_6854186738074119688
0,1,31,0,0,2,2.17,0.296060606,0,21362676_0_6854186738074119688
0,1,0,0,0,0,1,0,0,21362676_0_6854186738074119688
0,1,0,0,0,0,1,0,0,21585935_0_294037497010176843
0,1,142,0,0,0,3.394160584,0.518355517,1,21585935_0_294037497010176843
0,1,30,0,0,1,1.343065693,0.271146415,0,21585935_0_294037497010176843
0,1,0,0,0,0,1,0,0,21585935_0_294037497010176843
0,1,0,0,0.1,0,1,0,0,21801207_0_8144839668470123042
0,1,0,0,1,0,1,0,0,21801207_0_8144839668470123042
0,1,0,0,0,0,1,0,0,21801207_0_8144839668470123042
0,1,0,0,1,0,1,0,0,21801207_0_8144839668470123042
0,1,0,0,1,0,1,0,0,21801207_0_8144839668470123042
0,1,0,0,0,0,3.9,1.523684211,1,21801207_0_8144839668470123042
0,1,0,0,0,1,1.8,0.326315789,0,21801207_0_8144839668470123042
0,1,0,0,0,0,1.5,0,0,21801207_0_8144839668470123042
0,1,0,0,0,0,1.8,0,0,21801207_0_8144839668470123042
0,1,0,0,0,0,3.389920424,1.956007675,1,22864497_0_8632623712684511496
0,1,0,0,0,1,1.713527851,0.84956826,0,22864497_0_8632623712684511496
0,1,0,0,0.129973475,2,2.74005305,0.113381116,0,22864497_0_8632623712684511496
0,1,0,0,0.24668435,3,2.5066313,0.186325413,0,22864497_0_8632623712684511496
0,1,0,0,0.713527851,0,1.572944297,0,0,22864497_0_8632623712684511496
0,1,0,0,0.00795756,5,1.00265252,0.01061008,0,22864497_0_8632623712684511496
0,1,0,0,0,0,2,0,0,22864497_0_8632623712684511496
0,1,0,0,0,0,1,0,0,22987653_0_7774852112768859306
0,1,65,0,0,0,2.222222222,0.332096475,1,22987653_0_7774852112768859306
0,1,1,0,0,1,2.606060606,0.265512266,0,22987653_0_7774852112768859306
0,1,23,0,0.404040404,2,1.262626263,0.864564007,0,22987653_0_7774852112768859306
0,1,61,0,0,0,1.265060241,0.198648252,1,24036779_0_5608105867560183058
0,1,0,0,0,0,1,0,0,24036779_0_5608105867560183058
0,1,0,0,0,0,1,0,0,24036779_0_5608105867560183058
0,1,0,0,0,0,1,0,0,24036779_0_5608105867560183058
0,1,0,0,0,0,1,0,0,24036779_0_5608105867560183058
0,1,62,0,0,5,2.228915663,1.132823979,0,24036779_0_5608105867560183058
0,1,62,0,0,6,5.096385542,24.94739935,0,24036779_0_5608105867560183058
0,1,0,0,0,0,1,0,0,24142265_0_4577466141408796359
0,1,0,0,0,0,1,0,0,24142265_0_4577466141408796359
0,1,0,0,0,0,1,0,0,24142265_0_4577466141408796359
0,1,0,0,0,0,1,0,0,24142265_0_4577466141408796359
0,1,13,0,0,0,1.57,0.207171717,0,24142265_0_4577466141408796359
0,1,175,0,0,1,3.7,1.358686869,1,24142265_0_4577466141408796359
0,1,0,0,0,0,1,0,0,24417511_0_3058323105166963431
0,1,67,0,0,0,2.023728814,0.033829125,1,24417511_0_3058323105166963431
0,1,5,0,0,1,1.206779661,0.158491871,0,24417511_0_3058323105166963431
0,1,2,0,0,2,1,0,0,24417511_0_3058323105166963431
0,1,0,0,0.630508475,0,1,0,0,24417511_0_3058323105166963431
0,1,0,0,0.630508475,0,1,0,0,24417511_0_3058323105166963431
0,1,57,0,0,0,1.573459716,0.782893252,1,24850757_0_5978004733768297283
0,1,0,0,0,0,1,0,0,24850757_0_5978004733768297283
0,1,0,0,0,0,1,0,0,24850757_0_5978004733768297283
0,1,0,0,0,0,1,0,0,24850757_0_5978004733768297283
0,1,0,0,1,0,1,0,0,24850757_0_5978004733768297283
0,1,0,0,1,0,1,0,0,24859353_0_7027810986004269522
0,1,0,0,0,0,1.153846154,0,0,24859353_0_7027810986004269522
0,1,0,0,0,0,1,0,0,24859353_0_7027810986004269522
0,1,31,0,0,0,2.173076923,0.171945701,1,24859353_0_7027810986004269522
0,1,0,0,1,0,1,0,0,24859353_0_7027810986004269522
0,1,0,0,1,0,1,0,0,24859353_0_7027810986004269522
0,1,0,0,0,0,1,0,0,25404227_0_2240631045609013057
0,1,110,0,0,0,3.21,1.035454545,1,25404227_0_2240631045609013057
0,1,0,0,0,0,1,0,0,25404227_0_2240631045609013057
0,1,56,0,0,2,2.31,0.531212121,0,25404227_0_2240631045609013057
0,1,0,0,0,0,1,0,0,25404227_0_2240631045609013057
0,1,43,0,0,0,2,0.404155429,1,25933880_0_4058554985574416690
0,1,0,0,0,0,1,0,0,25933880_0_4058554985574416690
0,1,0,0,0,0,2,0,0,25933880_0_4058554985574416690
0,1,25,0,0,0,1.578947368,0.374269006,1,26270372_1_3774607938887520564
0,1,0,0,0.263157895,0,1,0,0,26270372_1_3774607938887520564
0,1,0,0,0.315789474,0,1,0,0,26270372_1_3774607938887520564
0,1,0,0,0,0,1,0,0,26270372_1_3774607938887520564
0,1,0,0,0.315789474,0,1,0,0,26270372_1_3774607938887520564
0,1,22,0,0.128205128,0,1.494505495,0.844537815,1,26310680_0_5150772059999313798
0,1,15,0,0.007326007,1,2.036630037,0.653065072,1,26310680_0_5150772059999313798
0,1,0,0,0.018315018,0,1,0,0,26310680_0_5150772059999313798
0,1,0,0,0.018315018,0,1,0,0,26310680_0_5150772059999313798
0,1,59,0,0,0,4.273901809,4.691020337,1,27466715_0_3913547177671701530
0,1,0,0,0,0,1,0,0,27466715_0_3913547177671701530
0,1,16,0,0,2,1.622739018,0.450897699,0,27466715_0_3913547177671701530
0,1,0,0,0,3,1.310077519,0.286875259,0,27466715_0_3913547177671701530
0,1,0,0,0.129198966,0,1.899224806,0,0,27466715_0_3913547177671701530
0,1,0,0,0,0,1.733850129,0,0,27466715_0_3913547177671701530
0,1,0,0,0,0,1,0,0,27466715_0_3913547177671701530
0,1,6,0,0,7,1.490956072,0.296796133,0,27466715_0_3913547177671701530
0,1,59,0,0,0,1.401315789,0.405408633,1,28036255_0_5705563063166785494
0,1,0,0,0,0,1,0,0,28036255_0_5705563063166785494
0,1,0,0,0,0,1,0,0,28036255_0_5705563063166785494
0,1,24,0,0,3,1.157894737,0.133402814,0,28036255_0_5705563063166785494
0,1,0,0,0,0,1.259868421,0,0,28036255_0_5705563063166785494
0,1,0,0,0,0,1,0,0,28036255_0_5705563063166785494
0,1,0,0,1,0,1,0,0,28036255_0_5705563063166785494
0,1,0,0,0,0,1,0,0,28079336_1_3124145965038277571
0,1,131,0,0,0,1.86,0.502121212,1,28079336_1_3124145965038277571
0,1,0,0,0,1,1.41,0.244343434,0,28079336_1_3124145965038277571
0,1,8,0,0,2,1.94,0.610505051,0,28079336_1_3124145965038277571
0,1,0,0,0,0,1,0,0,28079336_1_3124145965038277571
0,1,0,0,0,0,1,0,0,28079336_1_3124145965038277571
0,1,0,0,0,0,1,0,0,28079336_1_3124145965038277571
0,1,0,0,0,0,1,0,0,28079336_1_3124145965038277571
0,1,0,0,0.008264463,0,1,0,0,28079336_2_2139598421036200532
0,1,14,0,0.008264463,0,1.776859504,0.630716253,1,28079336_2_2139598421036200532
0,1,0,0,0.008264463,0,1,0,0,28079336_2_2139598421036200532
0,1,0,0,0.008264463,2,1.157024793,0.138429752,0,28079336_2_2139598421036200532
0,1,52,0,0,0,2.352678571,0.382266976,1,28086084_0_3127660530989916727
0,1,0,0,0,0,1,0,0,28086084_0_3127660530989916727
0,1,0,0,0,0,1,0,0,28086084_0_3127660530989916727
0,1,0,0,0,0,1,0,0,28086084_0_3127660530989916727
0,1,985,0,0,4,1,0,0,28086084_0_3127660530989916727
0,1,0,0,0,0,1,0,0,28086084_0_3127660530989916727
0,1,92,0,0,0,3.4,0.233333333,1,28154036_0_909001972154294543
0,1,0,0,0,0,1,0,0,28154036_0_909001972154294543
0,1,0,0,0,0,2,0,0,28154036_0_909001972154294543
0,1,0,0,0,0,1,0,0,28154036_0_909001972154294543
0,1,0,0,0,0,1,0,0,28154036_0_909001972154294543
0,1,302,0,0,0,2.349693252,0.596682572,1,28494901_6_7026744149694237309
0,1,0,0,0.233128834,0,1.006134969,0,0,28494901_6_7026744149694237309
0,1,73,0,0.245398773,2,3.711656442,5.83064455,0,28494901_6_7026744149694237309
0,1,30,0,0,0,2,0.125,1,28646774_0_3256889721737611537
0,1,0,0,0,0,1,0,0,28646774_0_3256889721737611537
0,1,0,0,0,0,1,0,0,28646774_0_3256889721737611537
0,1,0,0,0,0,1,0,0,28646774_0_3256889721737611537
0,1,0,0,0,0,1,0,0,28646774_0_3256889721737611537
0,1,2290,0,0,5,1,0,0,28646774_0_3256889721737611537
0,1,0,0,0,0,1,0,0,28993628_1_6072768612274729703
0,1,24,0,0,0,1.328947368,0.357017544,1,28993628_1_6072768612274729703
0,1,0,0,0,0,1,0,0,28993628_1_6072768612274729703
0,1,0,0,0,0,1,0,0,28993628_1_6072768612274729703
0,1,0,0,0,0,2,0,0,28993628_1_6072768612274729703
0,1,27,0,0,0,1,0,0,29021592_3_2299138476894681059
0,1,0,0,0,0,1,0,0,29021592_3_2299138476894681059
0,1,56,0,0,2,3.2,0.2,1,29021592_3_2299138476894681059
0,1,34,0,0.4,3,2.2,1.2,0,29021592_3_2299138476894681059
0,1,0,0,1,0,1,0,0,29021592_3_2299138476894681059
0,1,94,0,0,0,1.6,0.3,0,29021592_4_4348860179678308511
0,1,0,0,0,0,1.4,0,0,29021592_4_4348860179678308511
0,1,146,0,0.2,2,3.4,2.3,1,29021592_4_4348860179678308511
0,1,0,0,0.8,0,1.4,0,0,29021592_4_4348860179678308511
0,1,7,0,0.8,4,1,0.2,0,29021592_4_4348860179678308511
0,1,518,0,0,0,3.76,0.652424242,1,29412826_0_3422707769191426540
0,1,188,0,0,1,1.46,0.29040404,0,29412826_0_3422707769191426540
0,1,35,0,0,2,1.25,0.189393939,0,29412826_0_3422707769191426540
0,1,0,0,1,0,1,0,0,29412826_0_3422707769191426540
0,1,0,0,0,0,1,0,0,29414811_12_251152470253168163
0,1,95,0,0,0,3.583333333,1.101449275,1,29414811_12_251152470253168163
0,1,0,0,0,1,2.083333333,0.911231884,0,29414811_12_251152470253168163
0,1,20,0,0,2,4.5,8.427536232,0,29414811_12_251152470253168163
0,1,26,0,0,3,2.541666667,1.89673913,0,29414811_12_251152470253168163
0,1,0,0,0,0,1,0,0,29414811_13_8724394428539174350
0,1,78,0,0,0,3.5625,1.295833333,1,29414811_13_8724394428539174350
0,1,0,0,0,1,2.625,0.929166667,0,29414811_13_8724394428539174350
0,1,14,0,0,2,3.0625,2.866666667,0,29414811_13_8724394428539174350
0,1,25,0,0,3,1.9375,0.995833333,0,29414811_13_8724394428539174350
0,1,0,0,0,0,1,0,0,29414811_2_4773219892816395776
0,1,179,0,0,0,3.181818182,1.116883117,1,29414811_2_4773219892816395776
0,1,7,0,0,1,1.5,1.023809524,0,29414811_2_4773219892816395776
0,1,23,0,0,2,3,1.575757576,0,29414811_2_4773219892816395776
0,1,33,0,0,3,1.318181818,0.417748918,0,29414811_2_4773219892816395776
0,1,0,0,0,0,1,0,0,29414811_6_8221428333921653560
0,1,133,0,0,0,3.769230769,1.743589744,1,29414811_6_8221428333921653560
0,1,4,0,0,1,2.076923077,1.076923077,0,29414811_6_8221428333921653560
0,1,31,0,0,2,4.307692308,3.730769231,0,29414811_6_8221428333921653560
0,1,20,0,0,3,2.076923077,0.576923077,0,29414811_6_8221428333921653560
0,1,72,0,0,0,2.419354839,0.490322581,1,29857217_0_961038783966485949
0,1,0,0,0,0,1,0,0,29857217_0_961038783966485949
0,1,0,0,0,0,1,0,0,29857217_0_961038783966485949
0,1,0,0,0,0,1,0,0,29886325_0_1448173912684571475
0,1,2,0,0,0,1.141732283,0.198328717,1,29886325_0_1448173912684571475
0,1,12,0,0,1,1.05511811,0.060191093,0,29886325_0_1448173912684571475
0,1,0,0,0,0,1,0,0,29886325_0_1448173912684571475
0,1,0,0,0.307086614,0,1,0,0,29886325_0_1448173912684571475
0,1,45,0,0,4,1.838582677,0.583875385,0,29886325_0_1448173912684571475
0,1,39,0,0,0,5,0,0,30166286_0_1837439231599898748
0,1,0,0,0,0,1,0,0,30166286_0_1837439231599898748
0,1,65,0,0.057142857,2,2.39047619,0.571062271,1,30166286_0_1837439231599898748
0,1,0,0,0.504761905,0,1.761904762,0,0,30166286_0_1837439231599898748
0,1,0,0,0.752380952,0,1.428571429,0,0,30166286_0_1837439231599898748
0,1,105,0,0,0,2.1,0.988888889,1,30645756_0_2413317245475669227
0,1,0,0,1,0,1,0,0,30645756_0_2413317245475669227
0,1,12,0,0,2,2,0,0,30645756_0_2413317245475669227
0,1,0,0,1,0,1,0,0,30645756_0_2413317245475669227
0,1,0,0,1,0,1,0,0,30645756_0_2413317245475669227
0,1,0,0,0,0,1,0,0,32051842_5_1757891723986774036
0,1,256,0,0,0,3.15,0.642105263,1,32051842_5_1757891723986774036
0,1,42,0,0,1,1.5,0.263157895,0,32051842_5_1757891723986774036
0,1,0,0,0,0,1,0,0,32051842_5_1757891723986774036
0,1,0,0,0,0,3.7,1.6,1,32460905_0_5195150472060854231
0,1,0,0,0,0,1,0,0,32460905_0_5195150472060854231
0,1,0,0,0,2,3.2,0.1,0,32460905_0_5195150472060854231
0,1,0,0,0.1,3,2.9,1.066666667,0,32460905_0_5195150472060854231
0,1,0,0,0.1,4,1,0.1,0,32460905_0_5195150472060854231
0,1,162,0,0,0,3.882629108,1.416467358,1,32812626_0_5428724146873158593
0,1,71,0,0.004694836,1,1.488262911,0.448622553,0,32812626_0_5428724146873158593
0,1,0,0,0,0,1,0,0,32812626_0_5428724146873158593
